product_id,product_name,product_group,product_brand,category_id,supplier_id
7397,Pork Sirloin Steak,Pork steaks,Coles,3,1
7398,Pork Sizzle Steaks,Pork steaks,Coles,3,1
7399,Pork Fillet,Pork steaks,Coles,3,1
7400,Pork Loin Steaks Thin Cut,Pork steaks,Coles,3,1
7401,Pork Scotch Fillet Steak,Pork steaks,Coles,3,1
7402,Crumbed Pork Schnitzel Herb Crumb,Pork steaks,Coles,3,1
7403,Crumbed Pork Schnitzel,Pork steaks,Coles,3,1
7404,Pork Shank Boneless,Pork steaks,Coles,3,1
7405,Turkey Mince,Chicken & turkey mince,Steggles,4,1
7406,RSPCA Approved Chicken Breast Mince,Chicken & turkey mince,Coles,4,1
7407,RSPCA Approved Chicken Mince,Chicken & turkey mince,Coles,4,1
7408,Turkey Breast Mince,Chicken & turkey mince,Steggles,4,1
7409,High Protein Light Milk,Skim & low fat milk,The Complete Dairy,8,3
7410,Lite Reduced Fat Milk,Skim & low fat milk,Coles,8,3
7411,Lite Reduced Fat Milk,Skim & low fat milk,Coles,8,3
